[09/10 07:44:31] cifar10-global-group2-resnet18 INFO: Epoch 31/120, Acc=0.8177, Val Loss=0.5607, lr=0.0100
[09/10 07:44:49] cifar10-global-group2-resnet18 INFO: Epoch 32/120, Acc=0.8707, Val Loss=0.3957, lr=0.0100
[09/10 07:45:07] cifar10-global-group2-resnet18 INFO: Epoch 33/120, Acc=0.8792, Val Loss=0.3599, lr=0.0100
[09/10 07:45:25] cifar10-global-group2-resnet18 INFO: Epoch 34/120, Acc=0.8636, Val Loss=0.4185, lr=0.0100
[09/10 07:45:44] cifar10-global-group2-resnet18 INFO: Epoch 35/120, Acc=0.8716, Val Loss=0.3848, lr=0.0100
[09/10 07:46:02] cifar10-global-group2-resnet18 INFO: Epoch 36/120, Acc=0.8686, Val Loss=0.3995, lr=0.0100
[09/10 07:46:21] cifar10-global-group2-resnet18 INFO: Epoch 37/120, Acc=0.8680, Val Loss=0.4005, lr=0.0100
[09/10 07:46:40] cifar10-global-group2-resnet18 INFO: Epoch 38/120, Acc=0.8637, Val Loss=0.4184, lr=0.0100
[09/10 07:46:58] cifar10-global-group2-resnet18 INFO: Epoch 39/120, Acc=0.8462, Val Loss=0.4885, lr=0.0100
[09/10 07:47:17] cifar10-global-group2-resnet18 INFO: Epoch 40/120, Acc=0.8657, Val Loss=0.4022, lr=0.0100
[09/10 07:47:35] cifar10-global-group2-resnet18 INFO: Epoch 41/120, Acc=0.8769, Val Loss=0.3789, lr=0.0100
[09/10 07:47:54] cifar10-global-group2-resnet18 INFO: Epoch 42/120, Acc=0.8581, Val Loss=0.4171, lr=0.0100
[09/10 07:48:12] cifar10-global-group2-resnet18 INFO: Epoch 43/120, Acc=0.8601, Val Loss=0.4309, lr=0.0100
[09/10 07:48:31] cifar10-global-group2-resnet18 INFO: Epoch 44/120, Acc=0.8884, Val Loss=0.3316, lr=0.0100
[09/10 07:48:49] cifar10-global-group2-resnet18 INFO: Epoch 45/120, Acc=0.8594, Val Loss=0.4301, lr=0.0100
[09/10 07:49:08] cifar10-global-group2-resnet18 INFO: Epoch 46/120, Acc=0.8871, Val Loss=0.3465, lr=0.0100
[09/10 07:49:27] cifar10-global-group2-resnet18 INFO: Epoch 47/120, Acc=0.8828, Val Loss=0.3567, lr=0.0100
[09/10 07:49:46] cifar10-global-group2-resnet18 INFO: Epoch 48/120, Acc=0.8760, Val Loss=0.3678, lr=0.0100
[09/10 07:50:04] cifar10-global-group2-resnet18 INFO: Epoch 49/120, Acc=0.8802, Val Loss=0.3626, lr=0.0100
[09/10 07:50:23] cifar10-global-group2-resnet18 INFO: Epoch 50/120, Acc=0.8656, Val Loss=0.4102, lr=0.0100
[09/10 07:50:42] cifar10-global-group2-resnet18 INFO: Epoch 51/120, Acc=0.8606, Val Loss=0.3994, lr=0.0100
[09/10 07:51:00] cifar10-global-group2-resnet18 INFO: Epoch 52/120, Acc=0.8539, Val Loss=0.4512, lr=0.0100
[09/10 07:51:19] cifar10-global-group2-resnet18 INFO: Epoch 53/120, Acc=0.8883, Val Loss=0.3334, lr=0.0100
[09/10 07:51:37] cifar10-global-group2-resnet18 INFO: Epoch 54/120, Acc=0.8554, Val Loss=0.4567, lr=0.0100
[09/10 07:51:56] cifar10-global-group2-resnet18 INFO: Epoch 55/120, Acc=0.8477, Val Loss=0.4576, lr=0.0100
[09/10 07:52:15] cifar10-global-group2-resnet18 INFO: Epoch 56/120, Acc=0.8665, Val Loss=0.4004, lr=0.0100
[09/10 07:52:33] cifar10-global-group2-resnet18 INFO: Epoch 57/120, Acc=0.8619, Val Loss=0.4141, lr=0.0100
[09/10 07:52:52] cifar10-global-group2-resnet18 INFO: Epoch 58/120, Acc=0.8782, Val Loss=0.3604, lr=0.0100
[09/10 07:53:11] cifar10-global-group2-resnet18 INFO: Epoch 59/120, Acc=0.8589, Val Loss=0.4264, lr=0.0100
[09/10 07:53:29] cifar10-global-group2-resnet18 INFO: Epoch 60/120, Acc=0.9271, Val Loss=0.2205, lr=0.0010
[09/10 07:53:48] cifar10-global-group2-resnet18 INFO: Epoch 61/120, Acc=0.9298, Val Loss=0.2136, lr=0.0010
