
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: mode: prune
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: model: vgg19
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: verbose: False
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: dataset: cifar100
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: dataroot: data
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: batch_size: 128
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: total_epochs: 100
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: lr_decay_milestones: 40,80
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: lr_decay_gamma: 0.1
[09/09 18:08:13] cifar100-global-group2-vgg19 INFO: Epoch 34/120, Acc=0.5645, Val Loss=1.6780, lr=0.0100
[09/09 18:08:38] cifar100-global-group2-vgg19 INFO: Epoch 35/120, Acc=0.5677, Val Loss=1.6479, lr=0.0100
[09/09 18:08:56] cifar100-global-group2-vgg19 INFO: Epoch 36/120, Acc=0.5649, Val Loss=1.6473, lr=0.0100
[09/09 18:09:14] cifar100-global-group2-vgg19 INFO: Epoch 37/120, Acc=0.5590, Val Loss=1.6892, lr=0.0100
[09/09 18:09:32] cifar100-global-group2-vgg19 INFO: Epoch 38/120, Acc=0.5637, Val Loss=1.6413, lr=0.0100
[09/09 18:09:51] cifar100-global-group2-vgg19 INFO: Epoch 39/120, Acc=0.5446, Val Loss=1.7825, lr=0.0100
[09/09 18:10:09] cifar100-global-group2-vgg19 INFO: Epoch 40/120, Acc=0.5346, Val Loss=1.8358, lr=0.0100
[09/09 18:10:27] cifar100-global-group2-vgg19 INFO: Epoch 41/120, Acc=0.5637, Val Loss=1.6881, lr=0.0100
[09/09 18:10:46] cifar100-global-group2-vgg19 INFO: Epoch 42/120, Acc=0.5102, Val Loss=1.9549, lr=0.0100
[09/09 18:11:05] cifar100-global-group2-vgg19 INFO: Epoch 43/120, Acc=0.5561, Val Loss=1.7088, lr=0.0100
[09/09 18:11:22] cifar100-global-group2-vgg19 INFO: Epoch 44/120, Acc=0.5764, Val Loss=1.6413, lr=0.0100
[09/09 18:11:41] cifar100-global-group2-vgg19 INFO: Epoch 45/120, Acc=0.5310, Val Loss=1.8951, lr=0.0100
[09/09 18:12:25] cifar100-global-group2-vgg19 INFO: Epoch 46/120, Acc=0.5296, Val Loss=1.8859, lr=0.0100
